PRIM_STATE,NAICS_TITLE,OCC_TITLE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
US,Retail Trade,Other Healthcare Practitioners and Technical Occupations,22900,22910,36050,38200,77620
US,Educational Services,Engineers,38190,60900,78880,101090,130690
VA,Cross-industry,Architecture and Engineering Occupations,48280,62570,88230,122000,161040
US,Other Services (except Public Administration),Sales and Related Occupations,21650,26940,33910,48090,73570
US,"Arts, Entertainment, and Recreation",Other Management Occupations,37280,47840,61900,93920,128190
IL,Cross-industry,Sales and Related Occupations,23150,27280,30100,49500,80360
US,Other Services (except Public Administration),Other Food Preparation and Serving Related Workers,19390,23160,28430,30860,36980
US,Utilities,Retail Sales Workers,22880,29320,41470,56860,59760
US,Retail Trade,Financial Clerks,25340,30050,37720,47530,59500
US,Other Services (except Public Administration),"Supervisors of Installation, Maintenance, and Repair Workers",36610,47470,60740,77800,98570
MO,Cross-industry,Community and Social Service Occupations,29120,36740,41510,49630,62950
US,"Agriculture, Forestry, Fishing and Hunting",Supervisors of Production Workers,36490,38090,48140,62040,79380
US,Manufacturing,Grounds Maintenance Workers,24660,29750,36360,43880,50900
OH,Cross-industry,Legal Occupations,36880,47690,75320,124740,168560
US,Information,Food and Beverage Serving Workers,18090,20170,23780,29320,31930
US,"Professional, Scientific, and Technical Services",Other Personal Care and Service Workers,22390,27830,35240,47440,59520
US,Finance and Insurance,Communications Equipment Operators,24660,29450,36980,46500,53890
US,Information,Transportation and Material Moving Occupations,23080,29540,37020,47700,74270
UT,Cross-industry,Office and Administrative Support Occupations,25460,29780,37080,46980,60110
US,"Professional, Scientific, and Technical Services",Art and Design Workers,30140,43900,61730,81000,124940
WA,Cross-industry,Office and Administrative Support Occupations,32890,37410,46960,59250,74540
OK,Cross-industry,Transportation and Material Moving Occupations,22570,27750,30850,46420,59380
MI,Cross-industry,Food Preparation and Serving Related Occupations,22650,23400,26920,30460,40410
WV,Cross-industry,Construction and Extraction Occupations,28940,36390,47240,61040,78820
US,Wholesale Trade,Media and Communication Equipment Workers,33330,38370,47910,62030,79450
US,Wholesale Trade,Rail Transportation Workers,35840,38960,47590,69800,80290
US,Cross-industry,Other Office and Administrative Support Workers,23870,29630,37180,47010,59250
PA,Cross-industry,"Life, Physical, and Social Science Occupations",37320,48110,64330,92980,125970
IN,Cross-industry,"Farming, Fishing, and Forestry Occupations",22680,28550,31760,40660,48640
US,Finance and Insurance,Other Personal Care and Service Workers,21800,25790,37560,49470,62070
US,Information,"Life, Physical, and Social Science Occupations",37610,56700,78340,104760,162790
US,Other Services (except Public Administration),Office and Administrative Support Occupations,22860,28910,36360,47030,60170
WV,Cross-industry,"Installation, Maintenance, and Repair Occupations",23620,29850,45560,60110,76600
US,Manufacturing,Secretaries and Administrative Assistants,29630,36890,46690,59500,76680
US,Other Services (except Public Administration),Other Office and Administrative Support Workers,22860,28820,35090,45850,52340
US,Finance and Insurance,Other Sales and Related Workers,23940,29790,45110,62350,93160
HI,Cross-industry,Construction and Extraction Occupations,39680,49170,74380,97100,101640
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Physical Scientists,49990,63750,82090,112380,139610
KY,Cross-industry,Production Occupations,26620,29920,37530,47580,59970
US,Management of Companies and Enterprises,Motor Vehicle Operators,23100,28560,37260,48000,59480
US,Retail Trade,Woodworkers,27200,29420,36360,45850,50900
US,Finance and Insurance,Other Healthcare Practitioners and Technical Occupations,37660,46880,57970,76770,100030
US,"Arts, Entertainment, and Recreation","Librarians, Curators, and Archivists",29570,37540,48320,62710,80810
US,Other Services (except Public Administration),Production Occupations,22510,27420,30020,43660,59620
US,Manufacturing,Firefighting and Prevention Workers,47330,58180,66400,82730,94840
US,Wholesale Trade,Agricultural Workers,22290,27540,30030,37140,45870
LA,Cross-industry,Business and Financial Operations Occupations,34090,46870,61040,79890,104070
US,Educational Services,"Textile, Apparel, and Furnishings Workers",23840,29350,30520,38500,47480
ID,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,21650,23780,29260,36280,39060
MS,Cross-industry,Architecture and Engineering Occupations,36820,47910,72970,97390,126600
US,Wholesale Trade,"Entertainers and Performers, Sports and Related Workers",29550,38480,60550,78510,101610
LA,Cross-industry,Sales and Related Occupations,17620,20320,25320,37910,62610
US,Management of Companies and Enterprises,Printing Workers,29610,37370,37710,47490,59970
US,Manufacturing,Production Occupations,28820,30670,38050,48480,61810
MN,Cross-industry,"Life, Physical, and Social Science Occupations",39560,53480,74870,98050,129290
NC,Cross-industry,Construction and Extraction Occupations,29270,36090,43700,49900,63960
US,"Professional, Scientific, and Technical Services","Helpers, Construction Trades",29190,34320,37870,42210,47590
US,Information,Religious Workers,30730,38670,48690,50490,76950
US,Manufacturing,Supervisors of Construction and Extraction Workers,47470,58480,71020,87410,104210
US,Cross-industry,Other Food Preparation and Serving Related Workers,18510,22320,27400,30140,35830
US,"Professional, Scientific, and Technical Services",Extraction Workers,32670,36940,46740,60070,77000
US,Real Estate and Rental and Leasing,Supervisors of Food Preparation and Serving Workers,31070,36590,46230,55970,75410
US,Manufacturing,Other Protective Service Workers,27200,31200,39200,61360,77260
US,"Arts, Entertainment, and Recreation",Grounds Maintenance Workers,22440,24300,29620,35300,38750
TN,Cross-industry,Legal Occupations,35590,45480,64000,109760,166480
ME,Cross-industry,Computer and Mathematical Occupations,47010,60430,77750,99640,125930
US,Other Services (except Public Administration),Firefighting and Prevention Workers,24350,24440,40250,58680,63040
FL,Cross-industry,"Life, Physical, and Social Science Occupations",32510,41600,59240,79510,105250
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Other Personal Care and Service Workers,22090,24230,29880,38270,49480
NM,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,22150,23230,27950,30460,37930
KS,Cross-industry,"Life, Physical, and Social Science Occupations",36450,45920,60500,78990,101750
KS,Cross-industry,Food Preparation and Serving Related Occupations,17550,18410,22820,28590,35230
US,Administrative and Support and Waste Management and Remediation Services,"Textile, Apparel, and Furnishings Workers",21280,23610,28760,30200,37270
MI,Cross-industry,"Life, Physical, and Social Science Occupations",38280,48870,65430,96750,127680
NH,Cross-industry,Personal Care and Service Occupations,18320,23240,29460,38800,49620
DE,Cross-industry,"Arts, Design, Entertainment, Sports, and Media Occupations",26190,30310,47270,65970,98260
US,Utilities,"Helpers, Construction Trades",28140,29390,36360,40550,60100
US,Manufacturing,Supervisors of Office and Administrative Support Workers,42550,49120,62330,79170,98990
US,Health Care and Social Assistance,Communications Equipment Operators,26160,29450,36220,38550,51350
US,Management of Companies and Enterprises,Extraction Workers,35290,37500,46640,54270,61710
US,Health Care and Social Assistance,Personal Appearance Workers,28730,31340,37730,47490,60410
US,Health Care and Social Assistance,"Helpers, Construction Trades",29120,29320,37910,47830,58600
US,Construction,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",29620,29970,37460,37920,38070
US,Other Services (except Public Administration),Assemblers and Fabricators,26330,30030,37720,47510,59720
US,Finance and Insurance,Supervisors of Building and Grounds Cleaning and Maintenance Workers,37930,49030,61720,65890,80000
US,Educational Services,Media and Communication Equipment Workers,29130,38550,49190,62660,77270
US,Health Care and Social Assistance,Other Educational Instruction and Library Occupations,22260,23640,28860,30420,37660
CO,Cross-industry,Business and Financial Operations Occupations,47230,60550,77610,101660,130350
US,"Arts, Entertainment, and Recreation",Architecture and Engineering Occupations,48120,61950,79080,100580,131100
US,Manufacturing,Community and Social Service Occupations,29160,39000,58320,74210,79060
US,Manufacturing,"Material Recording, Scheduling, Dispatching, and Distributing Workers",29520,36190,39500,48870,62210
DC,Cross-industry,Office and Administrative Support Occupations,31710,38260,49190,67230,94000
MD,Cross-industry,Healthcare Practitioners and Technical Occupations,38680,60240,78430,101730,169570
HI,Cross-industry,Management Occupations,49040,76220,99250,129190,167860
VT,Cross-industry,Office and Administrative Support Occupations,29230,36530,38610,48280,61190
US,"Professional, Scientific, and Technical Services",Life Scientists,50280,72520,100710,130400,166980
TX,Cross-industry,Sales and Related Occupations,20170,23120,29540,47890,79920
US,"Agriculture, Forestry, Fishing and Hunting",Personal Care and Service Occupations,22850,28200,29760,38730,51640
US,"Professional, Scientific, and Technical Services",Social Scientists and Related Workers,38160,53180,78260,105630,158060
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Occupational Health and Safety Specialists and Technicians,45400,58660,77050,92980,104100
IN,Cross-industry,Computer and Mathematical Occupations,38370,49700,76910,99510,127020
US,Real Estate and Rental and Leasing,Other Healthcare Support Occupations,28820,29490,31670,37910,48150
US,"Arts, Entertainment, and Recreation","Other Installation, Maintenance, and Repair Occupations",23540,29120,36310,46700,59280
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Engineers,61450,78530,100730,127030,153730
CO,Cross-industry,Community and Social Service Occupations,34460,38850,49560,62640,79080
US,Health Care and Social Assistance,Assemblers and Fabricators,18010,18980,22660,28090,35030
US,Finance and Insurance,Legal Support Workers,36750,46500,59380,75460,94370
US,Construction,Transportation and Material Moving Occupations,30120,37580,46640,58200,75790
MA,Cross-industry,Sales and Related Occupations,29340,30020,37410,62920,102020
WA,Cross-industry,Protective Service Occupations,34150,38980,60310,83580,105010
US,Educational Services,Plant and System Operators,30420,47700,57910,75540,87900
US,Health Care and Social Assistance,Engineers,48420,61480,78210,99980,123550
US,Transportation and Warehousing,Operations Specialties Managers,61200,77460,98810,127010,162740
US,Wholesale Trade,Assemblers and Fabricators,27420,29820,36360,40700,48210
US,Construction,Art and Design Workers,34070,47040,56490,73700,93290
US,Transportation and Warehousing,Building Cleaning and Pest Control Workers,28560,33990,41810,58870,61980
ID,Cross-industry,Educational Instruction and Library Occupations,22550,28600,46960,60340,76230
US,"Professional, Scientific, and Technical Services","Architects, Surveyors, and Cartographers",46840,60340,77800,99750,127290
US,Other Services (except Public Administration),Protective Service Occupations,20340,23780,29670,38180,50880
US,Utilities,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",47120,61210,76750,95530,100590
US,Manufacturing,Communications Equipment Operators,29270,36530,42150,46940,58180
US,Finance and Insurance,Agricultural Workers,23030,29270,33990,46820,92720
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Other Production Occupations,30620,44870,52250,62340,77640
OR,Cross-industry,Protective Service Occupations,29310,31930,51340,79330,99630
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Metal Workers and Plastic Workers,47610,54100,61610,70930,82350
US,Other Services (except Public Administration),"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",20710,23410,29620,31280,37060
US,Cross-industry,"Helpers, Construction Trades",27660,29630,36510,41800,48210
VT,Cross-industry,Community and Social Service Occupations,29170,36910,45850,59360,68990
US,Management of Companies and Enterprises,"Sales Representatives, Wholesale and Manufacturing",38110,49500,77520,102810,135370
US,Management of Companies and Enterprises,"Electrical and Electronic Equipment Mechanics, Installers, and Repairers",37310,45890,59390,76850,96690
US,"Professional, Scientific, and Technical Services",Office and Administrative Support Occupations,28260,30830,40840,56530,74920
TN,Cross-industry,Healthcare Support Occupations,22300,23470,29220,36360,44560
CA,Cross-industry,Protective Service Occupations,30540,35990,49090,94150,124840
US,Health Care and Social Assistance,Health Technologists and Technicians,29780,37370,47670,61150,77820
US,"Arts, Entertainment, and Recreation","Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",26000,26000,26000,26000,37590
US,Utilities,"Farming, Fishing, and Forestry Occupations",33430,36960,42420,47840,62170
US,Retail Trade,Supervisors of Sales Workers,29010,33600,39180,53860,74650
US,Educational Services,Metal Workers and Plastic Workers,37860,47620,60230,71410,80950
US,Finance and Insurance,Financial Specialists,42540,59650,78500,120590,168420
KS,Cross-industry,Educational Instruction and Library Occupations,22880,29330,47350,60750,77150
US,Management of Companies and Enterprises,Other Healthcare Support Occupations,28960,33140,38170,47250,58850
US,"Arts, Entertainment, and Recreation",Engineers,59630,74220,94900,101670,160560
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Other Transportation Workers,30240,39010,59840,81980,108870
US,Educational Services,Computer Occupations,37970,48690,62860,81640,102750
US,Administrative and Support and Waste Management and Remediation Services,Rail Transportation Workers,39180,40920,47130,58140,65640
WV,Cross-industry,"Farming, Fishing, and Forestry Occupations",19040,24490,36360,42960,57970
US,"Arts, Entertainment, and Recreation",Retail Sales Workers,18390,22190,26040,29880,36750
US,"Professional, Scientific, and Technical Services",Food and Beverage Serving Workers,18300,20360,20600,28090,43430
IA,Cross-industry,Protective Service Occupations,23760,31690,49250,64460,81850
US,Administrative and Support and Waste Management and Remediation Services,"Counselors, Social Workers, and Other Community and Social Service Specialists",29490,37980,47040,60300,77210
US,Accommodation and Food Services,Computer and Mathematical Occupations,30270,40050,57620,77760,99340
US,Cross-industry,"Counselors, Social Workers, and Other Community and Social Service Specialists",30460,37940,48400,62520,80290
MD,Cross-industry,Architecture and Engineering Occupations,55780,75160,99280,129200,163270
US,Manufacturing,Architecture and Engineering Occupations,48280,62230,80030,105650,135880
US,Manufacturing,Computer and Mathematical Occupations,57860,77750,101510,131660,168460
DC,Cross-industry,Personal Care and Service Occupations,31200,31230,36830,47490,76030
VA,Cross-industry,Transportation and Material Moving Occupations,23090,28730,36520,47630,61930
US,Manufacturing,Other Educational Instruction and Library Occupations,29760,46640,68090,79260,101040
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Printing Workers,37550,47520,60820,92980,112530
MO,Cross-industry,Production Occupations,26440,29900,37710,47780,60710
AL,Cross-industry,Computer and Mathematical Occupations,43300,60320,79880,105980,133220
WI,Cross-industry,Management Occupations,56040,77080,101130,137630,202010
OR,Cross-industry,Management Occupations,47380,64840,98810,131130,190060
US,Construction,Supervisors of Building and Grounds Cleaning and Maintenance Workers,38070,44630,49820,63810,80590
CT,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,27960,29380,36570,46400,59940
IA,Cross-industry,"Life, Physical, and Social Science Occupations",36560,47250,61500,78830,100620
US,Educational Services,Extraction Workers,30120,37550,47110,59170,62740
US,"Arts, Entertainment, and Recreation",Construction and Extraction Occupations,29910,37990,48590,64160,100650
MN,Cross-industry,Management Occupations,48860,74900,102020,152350,206960
US,Construction,Media and Communication Equipment Workers,38140,46910,52270,63370,77700
US,Administrative and Support and Waste Management and Remediation Services,Computer and Mathematical Occupations,37330,48620,78740,121960,159390
US,"Arts, Entertainment, and Recreation",Healthcare Practitioners and Technical Occupations,29170,35270,47500,71090,96680
PA,Cross-industry,Production Occupations,27570,30780,38370,48630,62010
MN,Cross-industry,Transportation and Material Moving Occupations,27890,30320,38220,49190,63120
NV,Cross-industry,Management Occupations,38460,60010,79570,125340,164200
VT,Cross-industry,Transportation and Material Moving Occupations,25360,29470,37260,47910,61050
US,Retail Trade,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",28220,30070,38850,57970,70840
FL,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,22150,23470,28910,33890,38690
US,Cross-industry,Other Construction and Related Workers,29860,37500,47910,61950,82610
VA,Cross-industry,Computer and Mathematical Occupations,52320,77910,101680,131780,166160
US,Finance and Insurance,Other Construction and Related Workers,42590,48650,75910,120000,151260
US,Administrative and Support and Waste Management and Remediation Services,Media and Communication Equipment Workers,29120,35930,48520,70120,100970
US,"Agriculture, Forestry, Fishing and Hunting",Media and Communication Workers,30060,38580,60360,83690,129790
US,Transportation and Warehousing,Supervisors of Transportation and Material Moving Workers,38730,48180,61170,77310,95660
SC,Cross-industry,Construction and Extraction Occupations,28370,30560,38550,49390,63340
US,Management of Companies and Enterprises,Life Scientists,62470,79760,101900,130400,166980
TN,Cross-industry,Computer and Mathematical Occupations,37340,48590,73120,99510,128520
US,Utilities,Assemblers and Fabricators,29460,37270,58310,79280,97150
US,Construction,"Farming, Fishing, and Forestry Occupations",27640,30430,37210,46350,57750
US,Transportation and Warehousing,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",68200,85050,119080,161520,206540
US,Health Care and Social Assistance,Business Operations Specialists,37340,47420,60740,78570,100390
US,Wholesale Trade,Social Scientists and Related Workers,37930,53210,61290,77030,77970
US,Wholesale Trade,"Other Installation, Maintenance, and Repair Occupations",30190,37820,48040,61010,76750
NM,Cross-industry,"Life, Physical, and Social Science Occupations",36680,49290,74370,116330,190740
NH,Cross-industry,Healthcare Support Occupations,27520,29490,36420,38350,47650
NH,Cross-industry,Community and Social Service Occupations,31710,37320,47040,60300,76670
US,Manufacturing,"Supervisors of Farming, Fishing, and Forestry Workers",37920,46920,59420,75240,80810
ME,Cross-industry,Business and Financial Operations Occupations,46890,50290,63970,82640,104030
US,Utilities,Building Cleaning and Pest Control Workers,28290,30570,37830,47090,60600
US,Wholesale Trade,Extraction Workers,36900,37960,48000,61240,73480
US,Health Care and Social Assistance,"Installation, Maintenance, and Repair Occupations",29390,36790,46700,59670,75620
US,Real Estate and Rental and Leasing,Computer Occupations,37020,48510,77430,103310,135440
MN,Cross-industry,Construction and Extraction Occupations,37170,47030,60660,77540,96520
US,Health Care and Social Assistance,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",22670,27900,29540,36910,46700
US,Health Care and Social Assistance,Office and Administrative Support Occupations,28630,30080,37450,47230,59840
OR,Cross-industry,Community and Social Service Occupations,34820,39000,49980,63310,80570
HI,Cross-industry,Architecture and Engineering Occupations,48660,62430,82620,103650,128330
US,Administrative and Support and Waste Management and Remediation Services,Other Office and Administrative Support Workers,23910,29160,35300,40700,49580
US,"Agriculture, Forestry, Fishing and Hunting","Architects, Surveyors, and Cartographers",26950,36190,48460,61960,98690
US,Administrative and Support and Waste Management and Remediation Services,Supervisors of Protective Service Workers,30180,37020,47520,62110,77990
US,Accommodation and Food Services,Other Management Occupations,36550,46490,59360,75870,98070
US,Utilities,"Sales Representatives, Wholesale and Manufacturing",38790,61610,80670,109300,131450
US,Manufacturing,"Arts, Design, Entertainment, Sports, and Media Occupations",30250,37910,48930,67100,98550
NM,Cross-industry,"Arts, Design, Entertainment, Sports, and Media Occupations",28050,30900,48310,78060,130040
US,Management of Companies and Enterprises,Metal Workers and Plastic Workers,36100,43940,53300,74650,78260
US,Health Care and Social Assistance,"Arts, Design, Entertainment, Sports, and Media Occupations",31480,39380,50270,65470,81960
US,Health Care and Social Assistance,Funeral Service Workers,29270,50250,60180,75350,81240
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","Farming, Fishing, and Forestry Occupations",28060,31200,41600,53870,67740
US,"Agriculture, Forestry, Fishing and Hunting","Farming, Fishing, and Forestry Occupations",28690,29140,29710,35130,46830
US,Utilities,"Other Installation, Maintenance, and Repair Occupations",47980,62600,79850,99040,106390
WV,Cross-industry,Food Preparation and Serving Related Occupations,18380,21020,22260,28080,31800
US,Accommodation and Food Services,Media and Communication Equipment Workers,26900,33690,48990,62510,63210
US,Manufacturing,Educational Instruction and Library Occupations,29760,38060,61740,79150,100320
NH,Cross-industry,Legal Occupations,46650,59770,77940,116270,172490
US,Accommodation and Food Services,Other Protective Service Workers,22640,27560,30580,38060,48400
US,Information,Information and Record Clerks,28800,34350,38050,48570,63110
GA,Cross-industry,"Farming, Fishing, and Forestry Occupations",19940,24010,29630,44160,55670
MA,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,30210,31030,38230,48300,60840
MN,Cross-industry,Personal Care and Service Occupations,22800,24720,29730,37980,49370
US,Accommodation and Food Services,Water Transportation Workers,24490,37240,46850,61730,96620
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","Arts, Design, Entertainment, Sports, and Media Occupations",31250,47940,63480,90110,113360
US,"Professional, Scientific, and Technical Services",Communications Equipment Operators,28950,28950,30130,36540,47080
KY,Cross-industry,"Farming, Fishing, and Forestry Occupations",21490,23390,29380,36960,47330
US,Utilities,Protective Service Occupations,42690,57290,62030,78650,100330
US,Finance and Insurance,Health Technologists and Technicians,36330,37630,47270,60540,77380
US,Administrative and Support and Waste Management and Remediation Services,Building and Grounds Cleaning and Maintenance Occupations,22830,27890,30240,37560,47450
US,Utilities,Information and Record Clerks,36360,43660,49840,66580,81560
TX,Cross-industry,Community and Social Service Occupations,29670,37410,47550,61280,77290
US,Utilities,"Installation, Maintenance, and Repair Occupations",49160,72460,85000,100920,121380
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Supervisors of Protective Service Workers,47580,61270,79850,102800,130580
US,Retail Trade,"Installation, Maintenance, and Repair Occupations",28220,30270,39460,58090,73920
US,Retail Trade,Other Teachers and Instructors,23010,29120,38650,59770,67370
US,Cross-industry,Retail Sales Workers,20940,23070,28680,30640,38060
AK,Cross-industry,Legal Occupations,49010,62310,83880,118120,163180
US,Management of Companies and Enterprises,"Life, Physical, and Social Science Occupations",55890,75030,99720,131840,170890
US,Other Services (except Public Administration),Financial Clerks,24510,30370,40010,49070,61590
US,Retail Trade,Healthcare Support Occupations,22760,26520,29690,36770,46120
US,Manufacturing,Other Transportation Workers,37930,53790,76780,81670,102270
US,Health Care and Social Assistance,Other Production Occupations,22840,28990,36900,47330,59770
US,"Mining, Quarrying, and Oil and Gas Extraction",Production Occupations,36750,46240,59820,77670,99000
US,Wholesale Trade,Plant and System Operators,35710,39950,50780,65440,79880
US,Health Care and Social Assistance,"Other Installation, Maintenance, and Repair Occupations",29230,36310,45280,54400,62730
LA,Cross-industry,Food Preparation and Serving Related Occupations,17120,17860,19810,24400,30460
US,Other Services (except Public Administration),Postsecondary Teachers,37940,58350,77920,98100,133080
US,Manufacturing,Business and Financial Operations Occupations,47130,60130,76920,99630,127820
US,Administrative and Support and Waste Management and Remediation Services,Educational Instruction and Library Occupations,24070,28780,30850,46920,73450
US,"Professional, Scientific, and Technical Services",Supervisors of Sales Workers,43890,61340,90600,129330,169850
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Social Scientists and Related Workers,50510,64980,86300,110240,131810
US,Construction,Other Sales and Related Workers,25270,30370,43460,76140,126520
US,"Arts, Entertainment, and Recreation",Educational Instruction and Library Occupations,25030,30170,41690,59920,77500
TX,Cross-industry,Architecture and Engineering Occupations,43100,60560,80150,123970,161610
US,Retail Trade,"Baggage Porters, Bellhops, and Concierges",22290,23890,28760,30740,39290
US,Retail Trade,"Supervisors of Farming, Fishing, and Forestry Workers",30220,38020,48040,59740,75410
AR,Cross-industry,Architecture and Engineering Occupations,37740,49120,70360,95300,122180
US,Real Estate and Rental and Leasing,Construction Trades Workers,29590,36750,45520,59720,75950
US,Cross-industry,Woodworkers,24440,29580,36680,45190,49000
US,Manufacturing,Woodworkers,24220,29570,36660,44780,48610
US,"Professional, Scientific, and Technical Services",Assemblers and Fabricators,28990,33160,38580,48620,61150
US,Management of Companies and Enterprises,Healthcare Diagnosing or Treating Practitioners,60620,75550,95220,121530,160150
MN,Cross-industry,"Farming, Fishing, and Forestry Occupations",26750,29920,37390,46650,55710
US,Information,"Counselors, Social Workers, and Other Community and Social Service Specialists",37470,44690,54880,63000,79890
US,Finance and Insurance,Firefighting and Prevention Workers,31850,33080,38120,116640,149100
US,"Mining, Quarrying, and Oil and Gas Extraction","Architects, Surveyors, and Cartographers",49340,61140,76600,97630,128060
US,Health Care and Social Assistance,"Sales Representatives, Wholesale and Manufacturing",35720,59680,75020,104670,133550
CT,Cross-industry,Construction and Extraction Occupations,37450,47530,60970,77320,95800
US,Management of Companies and Enterprises,Animal Care and Service Workers,35490,37410,39290,47170,51460
